,InterestingEventTime,EventDescription,currentThreadID,BotNumber
315,2022-04-29 17:19:05.249300, Dynamic Status,43,3466
316,2022-04-29 17:19:05.811300, Dynamic Status,43,3466
317,2022-04-29 17:19:06.020400, Event : Action Status : AddWayPoint 1000042 : Status Completed,43,3466
318,2022-04-29 17:19:06.020400, Event : Action Status : Rest 1000043 : Status Started,43,3466
319,2022-04-29 17:19:06.020400, Event : Alert ActionId:0 Text:,43,3466
320,2022-04-29 17:19:06.020400, Event : OperationalState : OperationalState Active : SubState SubStateOK,43,3466
321,2022-04-29 17:19:07.811500, Dynamic Status,43,3466
322,2022-04-29 17:19:09.820700, Dynamic Status,43,3466
323,2022-04-29 17:19:11.810900, Event : Action Status : Rest 1000043 : Status Completed,43,3466
324,2022-04-29 17:19:12.024000, Event : OperationalState : OperationalState Idle : SubState SubStateOK,43,3466
325,2022-04-29 17:19:12.024000, Dynamic Status,43,3466
326,2022-04-29 17:19:12.380000, Initialize : Cmd 1000027 : Response,43,3466
